edad,sexo,tipo_universidad,prom_estudio_dia,prom_dia_whatsapp,prom_ciclo_pasado,ciclo,total_cursos_actuales,actividad_extracurricular_actual,horas_ejercicio_semanal,horas_sueño_xnoche,red_mas_usada,tiempo_max_sin_redes_dia,notificaciones_estudio_diario,dias_redes_antes_de_dormir,tipo_contenido_redes_sociales,satisfaccion_interaccion_social_presencial,afecta_concentracion_rendimiento,impacto_redes_actividades_extracurriculares,impacto_redes_salud_mental,momento_uso_redes_sociales,uso_redes_academicas,satisfaccion_rendimiento_academico,interaccion_persona_amigos_redes,frecuencia_descubrimiento_actividades_redes,prom_dia_instagram,prom_dia_tiktok,prom_dia_linkedin,prom_dia_x
19,Masculino,Privada,10,Entre 3-6 horas,18,7,8,Deportes,18,5,Instagram,4,20,0,Entretenimiento,5,3,No tiene efecto,3,Tarde (12 pm - 6pm),Sí,3,4,3,Entre 9-12 horas,Entre 3-6 horas,Entre 1-3 horas,Entre 3-6 horas
22,Masculino,Privada,6,Entre 1-3 horas,13.5,8,5,No participo en ninguna,2,6,Whatsapp,2,8,7,Entretenimiento,4,2,Motiva,2,Noche(6pm-12 am),Sí,3,2,4,Entre 1-3 horas,Entre 1-3 horas,Entre 1-3 horas,Entre 1-3 horas
19,Femenino,Privada,13,Entre 1-3 horas,15.15,3,5,Voluntariado,2,7,Whatsapp,1,30,7,Noticias,5,4,Motiva,3,Noche(6pm-12 am),Sí,3,2,4,Entre 1-3 horas,Entre 1-3 horas,Entre 1-3 horas,Entre 1-3 horas
19,Femenino,Privada,2,Entre 3-6 horas,16,3,6,No participo en ninguna,4,7,Whatsapp,1,3,7,Entretenimiento,3,2,Motiva,4,Tarde (12 pm - 6pm),Sí,4,6,4,Entre 1-3 horas,Entre 1-3 horas,Entre 1-3 horas,Entre 1-3 horas
19,Masculino,Privada,2,Entre 6-9 horas,16.5,3,6,Deportes,3,6,Whatsapp,3,10,6,Entretenimiento,4,4,Motiva,4,Tarde (12 pm - 6pm),Sí,3,4,4,Entre 1-3 horas,Entre 1-3 horas,Entre 1-3 horas,0 horas (no lo uso)
20,Masculino,Privada,3,Entre 3-6 horas,13,6,4,No participo en ninguna,6,6,Whatsapp,4,3,2,Noticias,3,4,Desmotiva,3,Tarde (12 pm - 6pm),No,4,3,4,Entre 3-6 horas,Entre 1-3 horas,0 horas (no lo uso),0 horas (no lo uso)
20,Femenino,Privada,4,Entre 1-3 horas,15.15,2,6,Deportes,5,5,Tiktok,2,3,2,Noticias,3,3,No tiene efecto,2,Noche(6pm-12 am),Sí,5,0,2,0 horas (no lo uso),Entre 1-3 horas,0 horas (no lo uso),0 horas (no lo uso)
20,Femenino,Privada,2,Entre 1-3 horas,16.08,6,5,Club Académico,2,6,Instagram,6,4,6,Académico,5,3,Motiva,5,Noche(6pm-12 am),Sí,3,2,5,Entre 1-3 horas,Entre 1-3 horas,0 horas (no lo uso),0 horas (no lo uso)
23,Femenino,Privada,6.5,Entre 6-9 horas,14.56,7,6,Voluntariado,2,6,Whatsapp,3,10,7,Entretenimiento,4,2,Motiva,5,Noche(6pm-12 am),Sí,3,20,3,Entre 1-3 horas,Entre 1-3 horas,0 horas (no lo uso),0 horas (no lo uso)
18,Masculino,Privada,7,Entre 1-3 horas,18.7,2,7,No participo en ninguna,2,6,Whatsapp,3,7,6,Entretenimiento,3,5,Desmotiva,5,Noche(6pm-12 am),Sí,4,3,2,0 horas (no lo uso),0 horas (no lo uso),0 horas (no lo uso),0 horas (no lo uso)
22,Femenino,Privada,4,Entre 1-3 horas,15,5,5,No participo en ninguna,2,4,Tiktok,2,4,5,Entretenimiento,5,3,No tiene efecto,3,Noche(6pm-12 am),Sí,3,2,2,Entre 3-6 horas,Entre 1-3 horas,0 horas (no lo uso),0 horas (no lo uso)
19,Femenino,Privada,5,Entre 6-9 horas,14,4,5,No participo en ninguna,4,6,Tiktok,5,7,7,Entretenimiento,4,5,No tiene efecto,4,Noche(6pm-12 am),Sí,3,8,4,Entre 1-3 horas,Entre 3-6 horas,0 horas (no lo uso),Entre 1-3 horas
18,Masculino,Pública,4,Entre 1-3 horas,9.8,2,4,No participo en ninguna,2,7,Whatsapp,3,8,7,Entretenimiento,4,4,No tiene efecto,4,Tarde (12 pm - 6pm),Sí,4,10,2,Entre 1-3 horas,Entre 1-3 horas,0 horas (no lo uso),Entre 1-3 horas
18,Masculino,Pública,6,Entre 9-12 horas,0,1,6,Club Académico,6,6,Instagram,5,3,7,Noticias,3,1,No tiene efecto,3,Noche(6pm-12 am),Sí,4,5,5,Entre 3-6 horas,Entre 1-3 horas,0 horas (no lo uso),Entre 1-3 horas
18,Masculino,Privada,8,Entre 1-3 horas,17,3,5,Deportes,11,6,Whatsapp,24,20,7,Entretenimiento,5,1,Motiva,1,Noche(6pm-12 am),Sí,4,2,3,Entre 1-3 horas,Entre 1-3 horas,0 horas (no lo uso),0 horas (no lo uso)
19,Masculino,Pública,10,Entre 1-3 horas,10,2,6,Deportes,3,7,Whatsapp,12,3,7,Académico,5,1,Motiva,3,Mañana (6am-11:59 am),Sí,3,0,5,0 horas (no lo uso),Entre 1-3 horas,0 horas (no lo uso),0 horas (no lo uso)
20,Femenino,Privada,7,Entre 1-3 horas,16.22,5,6,No participo en ninguna,4,8,Instagram,5,8,5,Académico,4,3,No tiene efecto,5,Tarde (12 pm - 6pm),Sí,3,50,4,Entre 3-6 horas,Entre 3-6 horas,Entre 1-3 horas,0 horas (no lo uso)
22,Masculino,Privada,15,Entre 1-3 horas,12,6,4,Voluntariado,2,6,Otro,2,8,6,Noticias,3,5,Motiva,5,Mañana (6am-11:59 am),Sí,1,4,4,Entre 3-6 horas,Entre 3-6 horas,Entre 1-3 horas,Entre 3-6 horas
21,Femenino,Privada,1,Entre 1-3 horas,17.58,6,8,No participo en ninguna,3,6,Tiktok,2,12,7,Entretenimiento,4,4,Motiva,3,Noche(6pm-12 am),Sí,3,0,2,Entre 3-6 horas,Entre 6-9 horas,Entre 1-3 horas,0 horas (no lo uso)
21,Masculino,Privada,3,Entre 1-3 horas,17.9,9,8,Deportes,24,4,Otro,24,12,7,Noticias,1,1,No tiene efecto,1,Noche(6pm-12 am),Sí,3,0,4,0 horas (no lo uso),0 horas (no lo uso),0 horas (no lo uso),Entre 1-3 horas
18,Masculino,Privada,2,Entre 9-12 horas,0,1,6,No participo en ninguna,0,5,Tiktok,0,9,7,Socializar,4,4,No tiene efecto,4,Noche(6pm-12 am),Sí,1,10,2,Entre 9-12 horas,Entre 9-12 horas,0 horas (no lo uso),0 horas (no lo uso)
18,Masculino,Privada,2,Entre 3-6 horas,15.66,5,5,Deportes,5,7,Instagram,3,5,3,Entretenimiento,5,5,No tiene efecto,5,Tarde (12 pm - 6pm),Sí,5,1,2,Entre 3-6 horas,Entre 1-3 horas,0 horas (no lo uso),0 horas (no lo uso)
18,Masculino,Privada,7,Entre 1-3 horas,18,3,5,No participo en ninguna,1,8,Tiktok,20,3,1,Noticias,1,2,Motiva,1,Noche(6pm-12 am),Sí,1,4,4,0 horas (no lo uso),Entre 1-3 horas,0 horas (no lo uso),0 horas (no lo uso)
18,Masculino,Privada,5,Entre 3-6 horas,15.5,2,7,No participo en ninguna,2,6,Whatsapp,3,7,6,Entretenimiento,4,5,Motiva,3,Noche(6pm-12 am),Sí,3,0,4,Entre 1-3 horas,NA,0 horas (no lo uso),0 horas (no lo uso)
18,Masculino,Privada,12,Entre 1-3 horas,19,3,8,No participo en ninguna,3,4,Whatsapp,1,3,7,Entretenimiento,5,1,No tiene efecto,1,Tarde (12 pm - 6pm),Sí,5,3,4,Entre 1-3 horas,0 horas (no lo uso),0 horas (no lo uso),0 horas (no lo uso)
22,Masculino,Privada,2,NA,13,5,6,Club Académico,1,4,Whatsapp,2,1,3,Entretenimiento,4,4,No tiene efecto,3,Tarde (12 pm - 6pm),Sí,3,2,4,0 horas (no lo uso),Entre 3-6 horas,0 horas (no lo uso),0 horas (no lo uso)
18,Masculino,Privada,NA,NA,6.9,7,6,Voluntariado,6,6,Otro,6,0,6,Académico,1,1,Motiva,1,Mañana (6am-11:59 am),No,5,0,1,NA,NA,NA,NA
19,Masculino,Privada,3,Entre 1-3 horas,15,5,7,No participo en ninguna,9,5,Whatsapp,2,30,7,Entretenimiento,4,5,Desmotiva,4,Tarde (12 pm - 6pm),Sí,4,0,3,0 horas (no lo uso),0 horas (no lo uso),0 horas (no lo uso),0 horas (no lo uso)
21,Femenino,Privada,6,Entre 3-6 horas,17,2,5,Voluntariado,0,8,Tiktok,6,20,7,Entretenimiento,5,1,No tiene efecto,4,Noche(6pm-12 am),Sí,5,3,2,Entre 1-3 horas,Entre 3-6 horas,Entre 1-3 horas,0 horas (no lo uso)
22,Masculino,Privada,6,Entre 9-12 horas,14,4,5,Club Académico,5,7,Facebook / meta,3,20,7,Socializar,3,3,Motiva,3,Noche(6pm-12 am),No,3,3,3,0 horas (no lo uso),0 horas (no lo uso),0 horas (no lo uso),0 horas (no lo uso)
19,Masculino,Pública,2,Entre 1-3 horas,13.8,5,6,Deportes,4,5,Discord,1,6,7,Entretenimiento,3,2,No tiene efecto,3,Noche(6pm-12 am),Sí,4,2,3,Entre 1-3 horas,Entre 3-6 horas,Entre 1-3 horas,Entre 1-3 horas
22,Masculino,Privada,3,Entre 3-6 horas,13,8,5,Deportes,3,7,Whatsapp,4,36,5,Noticias,3,3,Desmotiva,4,Noche(6pm-12 am),Sí,3,26,3,Entre 1-3 horas,Entre 3-6 horas,0 horas (no lo uso),0 horas (no lo uso)
18,Masculino,Privada,2,Entre 1-3 horas,17,3,8,No participo en ninguna,1,6,Discord,1,10,0,Entretenimiento,3,2,No tiene efecto,3,Tarde (12 pm - 6pm),No,4,0,1,0 horas (no lo uso),0 horas (no lo uso),0 horas (no lo uso),0 horas (no lo uso)
19,Femenino,Privada,5,Entre 1-3 horas,15.42,3,5,No participo en ninguna,2,6,Whatsapp,5,6,6,Entretenimiento,4,5,Motiva,4,Noche(6pm-12 am),Sí,4,0,3,Entre 1-3 horas,Entre 1-3 horas,0 horas (no lo uso),Entre 1-3 horas
21,Masculino,Privada,2,Entre 3-6 horas,17.7,10,6,Deportes,6,7,Instagram,2,4,7,Entretenimiento,5,5,Desmotiva,5,Tarde (12 pm - 6pm),Sí,5,0,5,Entre 3-6 horas,Entre 1-3 horas,Entre 1-3 horas,Entre 1-3 horas
18,Masculino,Privada,5,Entre 1-3 horas,0,1,6,No participo en ninguna,3,6,Instagram,5,5,0,Entretenimiento,5,1,No tiene efecto,1,Tarde (12 pm - 6pm),Sí,5,3,3,Entre 1-3 horas,Entre 1-3 horas,0 horas (no lo uso),0 horas (no lo uso)
19,Masculino,Privada,2,Entre 1-3 horas,14,5,4,No participo en ninguna,0,7,Whatsapp,4,6,7,Entretenimiento,4,3,Motiva,3,Tarde (12 pm - 6pm),Sí,2,0,3,Entre 3-6 horas,0 horas (no lo uso),0 horas (no lo uso),0 horas (no lo uso)
18,Masculino,Privada,1.5,Entre 1-3 horas,15.33,3,6,Voluntariado,0,6,Instagram,3,8,7,Entretenimiento,4,4,No tiene efecto,3,Noche(6pm-12 am),Sí,3,3,2,Entre 3-6 horas,0 horas (no lo uso),0 horas (no lo uso),0 horas (no lo uso)
18,Femenino,Privada,3,Entre 6-9 horas,17.2,3,4,No participo en ninguna,10,6,Whatsapp,3,7,5,Entretenimiento,4,4,No tiene efecto,3,Tarde (12 pm - 6pm),Sí,3,12,4,Entre 3-6 horas,Entre 1-3 horas,0 horas (no lo uso),Entre 1-3 horas
20,Femenino,Pública,4,Entre 1-3 horas,15.5,3,4,Voluntariado,3,4,Whatsapp,1,3,3,Noticias,5,4,No tiene efecto,3,Noche(6pm-12 am),Sí,5,2,3,0 horas (no lo uso),0 horas (no lo uso),0 horas (no lo uso),0 horas (no lo uso)
22,Femenino,Pública,7,Entre 6-9 horas,16,5,5,No participo en ninguna,1,5,Whatsapp,1,10,7,Entretenimiento,4,5,Desmotiva,4,Noche(6pm-12 am),Sí,3,4,2,0 horas (no lo uso),Entre 3-6 horas,0 horas (no lo uso),0 horas (no lo uso)
23,Masculino,Privada,3,Entre 3-6 horas,16.98,10,3,Arte,0,4,Whatsapp,4,5,3,Entretenimiento,4,4,No tiene efecto,4,Noche(6pm-12 am),Sí,4,0,4,Entre 1-3 horas,Entre 1-3 horas,0 horas (no lo uso),0 horas (no lo uso)
19,Femenino,Privada,3,Entre 1-3 horas,15,3,7,Arte,0,6,Tiktok,7,8,7,Entretenimiento,3,4,No tiene efecto,1,Tarde (12 pm - 6pm),No,3,10,2,Entre 1-3 horas,Entre 3-6 horas,0 horas (no lo uso),Entre 1-3 horas
18,Femenino,Privada,2,Entre 3-6 horas,15,2,6,Voluntariado,1,5,Whatsapp,2,10,7,Entretenimiento,4,2,No tiene efecto,1,Noche(6pm-12 am),Sí,4,10,2,Entre 1-3 horas,Entre 1-3 horas,0 horas (no lo uso),0 horas (no lo uso)
18,Femenino,Privada,3,Entre 1-3 horas,13,3,4,No participo en ninguna,10,6,Whatsapp,6,30,4,Entretenimiento,3,5,Motiva,5,Tarde (12 pm - 6pm),Sí,2,33,5,Entre 1-3 horas,Entre 1-3 horas,0 horas (no lo uso),Entre 1-3 horas
27,Femenino,Privada,4,Entre 6-9 horas,16,10,4,No participo en ninguna,0,7,Whatsapp,1,7,7,Socializar,5,3,No tiene efecto,1,Noche(6pm-12 am),Sí,5,7,3,Entre 6-9 horas,Entre 6-9 horas,Entre 1-3 horas,0 horas (no lo uso)
20,Masculino,Privada,2,Entre 3-6 horas,12,9,4,No participo en ninguna,1,5,Facebook / meta,2,5,7,Socializar,5,5,No tiene efecto,1,Tarde (12 pm - 6pm),No,2,0,1,Entre 1-3 horas,Entre 6-9 horas,0 horas (no lo uso),0 horas (no lo uso)
19,Femenino,Privada,5,Entre 3-6 horas,0,1,5,Voluntariado,15,7,Tiktok,24,2,5,Noticias,3,1,Motiva,2,Noche(6pm-12 am),Sí,5,4,3,Entre 1-3 horas,Entre 6-9 horas,0 horas (no lo uso),0 horas (no lo uso)
18,Femenino,Privada,3,Entre 1-3 horas,12.5,2,5,No participo en ninguna,0,6,Whatsapp,5,3,4,Entretenimiento,5,2,No tiene efecto,2,Noche(6pm-12 am),Sí,4,3,3,Entre 1-3 horas,Entre 1-3 horas,0 horas (no lo uso),Entre 1-3 horas
19,Masculino,Privada,3,Entre 1-3 horas,13.8,3,5,No participo en ninguna,3,7,X (Twitter),7,3,4,Entretenimiento,3,3,No tiene efecto,3,Tarde (12 pm - 6pm),Sí,3,2,3,Entre 1-3 horas,Entre 3-6 horas,Entre 1-3 horas,Entre 1-3 horas
18,Masculino,Privada,2,Entre 1-3 horas,16.58,3,6,No participo en ninguna,5,6,Instagram,1,10,7,Entretenimiento,5,5,Motiva,5,Tarde (12 pm - 6pm),Sí,5,2,5,NA,Entre 1-3 horas,0 horas (no lo uso),NA
18,Femenino,Privada,4,Entre 3-6 horas,16,3,5,Arte,7,4,Instagram,1,10,7,Entretenimiento,5,3,No tiene efecto,4,Noche(6pm-12 am),Sí,3,5,3,Entre 3-6 horas,Entre 3-6 horas,0 horas (no lo uso),0 horas (no lo uso)
18,Masculino,Privada,2,Entre 1-3 horas,0,1,7,Deportes,16,8,Tiktok,5,15,7,Entretenimiento,4,2,No tiene efecto,2,Noche(6pm-12 am),Sí,4,2,4,Entre 3-6 horas,Entre 3-6 horas,0 horas (no lo uso),0 horas (no lo uso)
18,Masculino,Privada,1,Entre 3-6 horas,17,5,5,Música,1,5,Whatsapp,5,5,7,Entretenimiento,4,4,Motiva,4,Noche(6pm-12 am),Sí,3,10,5,Entre 1-3 horas,Entre 1-3 horas,0 horas (no lo uso),0 horas (no lo uso)
21,Femenino,Privada,3,Entre 3-6 horas,17.8,5,6,Arte,0,5,Tiktok,2,10,7,Entretenimiento,5,5,Motiva,3,Noche(6pm-12 am),Sí,3,0,3,Entre 1-3 horas,Entre 9-12 horas,0 horas (no lo uso),Entre 3-6 horas
25,Masculino,Privada,10,Entre 3-6 horas,16,6,7,No participo en ninguna,8,7,Whatsapp,4,3,5,Entretenimiento,3,2,No tiene efecto,3,Noche(6pm-12 am),Sí,3,5,2,Entre 1-3 horas,Entre 3-6 horas,0 horas (no lo uso),0 horas (no lo uso)
19,Masculino,Privada,2,Entre 3-6 horas,15,3,6,No participo en ninguna,1,6,Whatsapp,1,7,7,Entretenimiento,4,5,Desmotiva,5,Noche(6pm-12 am),Sí,2,30,3,Entre 1-3 horas,Entre 6-9 horas,0 horas (no lo uso),0 horas (no lo uso)
18,Masculino,Pública,6,Entre 1-3 horas,17,3,8,Deportes,5,6,Whatsapp,2,0,6,Académico,4,2,Motiva,3,Noche(6pm-12 am),Sí,4,8,5,Entre 1-3 horas,Entre 1-3 horas,Entre 1-3 horas,0 horas (no lo uso)
20,Masculino,Privada,4,Entre 1-3 horas,16.7,5,8,No participo en ninguna,8,6,Tiktok,5,10,4,Entretenimiento,4,2,Motiva,3,Noche(6pm-12 am),Sí,4,4,3,0 horas (no lo uso),Entre 3-6 horas,Entre 1-3 horas,0 horas (no lo uso)
21,Masculino,Privada,1,Entre 1-3 horas,14,7,6,No participo en ninguna,6,7,Tiktok,2,0,4,Noticias,3,4,No tiene efecto,5,Mañana (6am-11:59 am),Sí,3,0,2,Entre 1-3 horas,Entre 1-3 horas,Entre 1-3 horas,0 horas (no lo uso)
18,Masculino,Privada,2,Entre 1-3 horas,17.8,3,6,Deportes,15,7,Instagram,2,3,6,Entretenimiento,5,3,Motiva,2,Noche(6pm-12 am),Sí,4,2,3,Entre 1-3 horas,Entre 1-3 horas,0 horas (no lo uso),0 horas (no lo uso)
18,Masculino,Privada,4,Entre 3-6 horas,16,3,6,Deportes,10,7,Whatsapp,3,20,6,Socializar,4,2,No tiene efecto,1,Noche(6pm-12 am),Sí,3,3,3,0 horas (no lo uso),Entre 1-3 horas,0 horas (no lo uso),0 horas (no lo uso)
18,Masculino,Privada,4,Entre 3-6 horas,0,1,6,Arte,6,6,Tiktok,3,30,7,Entretenimiento,5,5,Motiva,5,Madrugada (12am-6am),Sí,4,100,3,Entre 3-6 horas,Entre 3-6 horas,0 horas (no lo uso),0 horas (no lo uso)
19,Masculino,Privada,3,Entre 1-3 horas,16,3,6,Deportes,1,6,Facebook / meta,5,5,7,Entretenimiento,3,4,No tiene efecto,3,Noche(6pm-12 am),Sí,3,0,2,Entre 1-3 horas,0 horas (no lo uso),0 horas (no lo uso),0 horas (no lo uso)
18,Masculino,Privada,2,Entre 3-6 horas,15.8,3,6,Deportes,9,7,Instagram,24,2,3,Entretenimiento,5,2,Motiva,2,Tarde (12 pm - 6pm),Sí,4,4,3,Entre 3-6 horas,Entre 3-6 horas,0 horas (no lo uso),0 horas (no lo uso)
20,Masculino,Pública,3,0 horas (no lo uso),6,8,8,Voluntariado,20,7,X (Twitter),4,2,3,Entretenimiento,3,3,Desmotiva,3,Noche(6pm-12 am),Sí,3,2,3,0 horas (no lo uso),0 horas (no lo uso),0 horas (no lo uso),0 horas (no lo uso)
20,Masculino,Privada,3.5,Entre 1-3 horas,15,3,5,No participo en ninguna,1,7,Instagram,10,8,2,Noticias,4,4,No tiene efecto,4,Noche(6pm-12 am),Sí,4,8,3,Entre 1-3 horas,0 horas (no lo uso),0 horas (no lo uso),0 horas (no lo uso)
21,Masculino,Privada,1.5,Entre 3-6 horas,16,6,6,No participo en ninguna,7,5,Whatsapp,8,5,7,Entretenimiento,4,5,Motiva,4,Tarde (12 pm - 6pm),Sí,4,5,2,Entre 1-3 horas,Entre 1-3 horas,0 horas (no lo uso),0 horas (no lo uso)
18,Femenino,Privada,1,Entre 1-3 horas,15,3,6,Arte,1,7,Tiktok,5,3,1,Entretenimiento,4,3,No tiene efecto,3,Tarde (12 pm - 6pm),Sí,4,3,3,Entre 1-3 horas,Entre 3-6 horas,0 horas (no lo uso),Entre 1-3 horas
21,Masculino,Pública,12,Entre 9-12 horas,1,7,1,Música,24,8,Otro,0,24,7,Entretenimiento,1,3,Motiva,1,Madrugada (12am-6am),No,5,NA,3,Entre 9-12 horas,Entre 9-12 horas,Entre 9-12 horas,Entre 9-12 horas
19,Femenino,Pública,5,Entre 6-9 horas,15,3,5,No participo en ninguna,0,7,Whatsapp,24,30,7,Entretenimiento,3,1,No tiene efecto,1,Tarde (12 pm - 6pm),Sí,4,2,3,Entre 1-3 horas,Entre 6-9 horas,0 horas (no lo uso),0 horas (no lo uso)
19,Masculino,Privada,3,Entre 3-6 horas,15,4,6,No participo en ninguna,3,5,Whatsapp,3,4,2,Entretenimiento,4,2,No tiene efecto,3,Noche(6pm-12 am),Sí,3,0,2,Entre 1-3 horas,Entre 1-3 horas,0 horas (no lo uso),0 horas (no lo uso)
23,Femenino,Pública,2,Entre 1-3 horas,2.3,8,1,Deportes,2,7,Whatsapp,4,3,5,Entretenimiento,3,5,Desmotiva,5,Tarde (12 pm - 6pm),Sí,2,0,1,Entre 1-3 horas,Entre 1-3 horas,0 horas (no lo uso),0 horas (no lo uso)
19,Femenino,Privada,2,Entre 1-3 horas,16.4,5,6,No participo en ninguna,3,5,Tiktok,2,5,7,Entretenimiento,4,3,No tiene efecto,2,Noche(6pm-12 am),Sí,4,0,3,Entre 1-3 horas,Entre 3-6 horas,Entre 1-3 horas,0 horas (no lo uso)
19,Femenino,Privada,10,Entre 3-6 horas,15.5,2,6,Voluntariado,2,4,Whatsapp,5,3,7,Noticias,4,2,No tiene efecto,3,Madrugada (12am-6am),Sí,4,10,5,Entre 1-3 horas,Entre 6-9 horas,0 horas (no lo uso),0 horas (no lo uso)
20,Femenino,Privada,3,Entre 6-9 horas,15,3,6,Voluntariado,0,7,Whatsapp,2,20,7,Entretenimiento,4,3,Motiva,3,Noche(6pm-12 am),Sí,3,5,NA,Entre 1-3 horas,Entre 3-6 horas,Entre 3-6 horas,Entre 3-6 horas
22,Femenino,Privada,2,Entre 3-6 horas,15,9,2,Deportes,5,7,Instagram,10,7,5,Académico,4,1,Motiva,1,Tarde (12 pm - 6pm),Sí,3,2,5,Entre 1-3 horas,Entre 1-3 horas,0 horas (no lo uso),0 horas (no lo uso)
18,Masculino,Privada,1.3,Entre 1-3 horas,14.25,2,6,No participo en ninguna,2,7,Whatsapp,2,10,2,Entretenimiento,1,4,No tiene efecto,2,Tarde (12 pm - 6pm),Sí,3,0,4,0 horas (no lo uso),0 horas (no lo uso),0 horas (no lo uso),0 horas (no lo uso)
20,Masculino,Privada,2,Entre 1-3 horas,14,5,5,Deportes,6,7,Whatsapp,6,20,6,Entretenimiento,3,4,No tiene efecto,4,Noche(6pm-12 am),No,3,0,1,Entre 1-3 horas,0 horas (no lo uso),0 horas (no lo uso),Entre 1-3 horas
22,Masculino,Privada,2,Entre 1-3 horas,14,4,5,Deportes,10,6,Whatsapp,24,10,1,Entretenimiento,3,5,Desmotiva,5,Tarde (12 pm - 6pm),Sí,2,4,4,Entre 1-3 horas,0 horas (no lo uso),0 horas (no lo uso),Entre 1-3 horas
26,Masculino,Privada,5,Entre 6-9 horas,16,3,5,No participo en ninguna,0,6,Whatsapp,4,3,7,Entretenimiento,3,2,Motiva,2,Noche(6pm-12 am),No,3,0,1,Entre 1-3 horas,Entre 1-3 horas,Entre 1-3 horas,0 horas (no lo uso)
25,Masculino,Privada,4,Entre 1-3 horas,15,3,5,No participo en ninguna,0,6,Instagram,12,15,7,Entretenimiento,3,5,No tiene efecto,2,Noche(6pm-12 am),Sí,2,0,2,Entre 1-3 horas,Entre 1-3 horas,0 horas (no lo uso),0 horas (no lo uso)
23,Masculino,Privada,5,Entre 3-6 horas,14,7,6,No participo en ninguna,4,6,Whatsapp,2,2,3,Entretenimiento,3,2,Desmotiva,3,Tarde (12 pm - 6pm),Sí,3,4,5,Entre 1-3 horas,0 horas (no lo uso),Entre 1-3 horas,0 horas (no lo uso)
25,Masculino,Privada,3,Entre 1-3 horas,13.25,8,4,Club Académico,0,8,Tiktok,24,3,0,Noticias,5,1,No tiene efecto,2,Tarde (12 pm - 6pm),Sí,3,0,3,0 horas (no lo uso),Entre 1-3 horas,0 horas (no lo uso),Entre 1-3 horas
